UPC,maker,brand,flavor,volume,package,iri_key,week,units,price,promo,ad
01.16000.11653,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.06,BOX,644347,6,5,0.5,0,A
01.16000.11653,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.06,BOX,248741,5,2,0.5,0,NONE
01.16000.11653,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.06,BOX,535806,11,3,0.5,0,NONE
01.16000.11653,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.06,BOX,652727,13,10,0.5,0,NONE
01.16000.11653,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.06,BOX,535806,16,10,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,675634,11,2,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,205272,13,8,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,248741,14,5,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,253040,2,14,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,645430,3,4,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,644347,26,2,0.25,1,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,228282,19,3,0.5,0,NONE
01.16000.11945,GENERAL_MILLS,CHEERIOS,TOASTED,0.04,BOX,8018698,32,6,0.6,0,NONE
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,932600,39,6,1.09,0,NONE
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,278738,35,1,1.59,0,NONE
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,660222,45,4,1.59,0,NONE
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,644937,5,14,1,0,NONE
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,673333,50,11,1.45,0,A
01.16000.14154,GENERAL_MILLS,CINNAMON_TST_CR,CINNAMON TOAST,0.12,CUP,231888,47,19,1.45,0,NONE
